,0
"('raise', 'service', 'ticket')",1
"('-PRON-', 'would', 'debug')",1
"('citi', 'loc', 'pritech')",1
"('gnoc', 'nso', 'pl')",1
"('ip', 'location', 'detail')",1
"('device', 'mdc', 'monitor')",1
"('facility', 'lync', 'user')",1
"('raise', 'request', 'sftp')",1
"('revert', 'ft', 'detail')",2
"('enable', 'capture', 'traffic')",1
"('li', 'password', 'issue')",1
"('build', 'configuration', 'current')",1
"('bestbuy', 'not', 'work')",1
"('slowness', 'issue', 'access')",1
"('direct', 'access', 'need')",1
"('domain', 'name', 'bandwidth')",1
"('fat', 'password', 'issue')",1
"('concerned', 'query', 'not')",1
"('instal', 'extension', 'google')",1
"('switch', 'ip', 'secondary')",1
"('location', 'need', 'attention')",1
"('troubleshoot', 'symentec', 'issue')",4
"('mb', 'bwcmr', 'raise')",1
"('ms', 'office', 'activation')",2
"('bp', 'odc', 'router')",1
"('not', 'get', 'deliver')",1
"('need', 'bit', 'lokcer')",1
"('add', 'domaincreat', 'user')",1
"('address', 'project', 'wipro')",1
"('office', 'software', 'bit')",1
"('ec', 'internet', 'firewall')",1
"('detail', 'connect', 'switch')",1
"('practice', 'training', 'material')",1
"('guest', 'account', 'removal')",1
"('laptop', 'format', 'detag')",1
"('troubleshoot', 'frequent', 'account')",9
"('server', 'monitor', 'tool')",1
"('outlook', 'not', 'connect')",1
"('new', 'ip', 'address')",1
"('respond', 'ticket', 'violate')",1
"('kindly', 'check', 'date')",1
"('fortigate', 'need', 'add')",1
"('not', 'display', 'webpage')",1
"('lync', 'access', 'capricorn')",1
"('multiple', 'issue', 'not')",1
"('network', 'issue', 'backbone')",1
"('primary', 'secondary', 'packet')",1
"('router', 'current', 'state')",1
"('access', 'helpline', 'mywipro')",1
"('citrix', 'access', 'customer')",1
"('latency', 'yvw', 'citirx')",1
"('not', 'reachable', 'ectbcl')",1
"('need', 'replace', 'asap')",1
"('forward', 'not', 'work')",1
"('request', 'ip', 'segment')",1
"('raise', 'behlaf', 'userf')",1
"('lync', 'byod', 'issue')",1
"('server', 'find', 'server')",1
"('would', 'tacacs', 'testing')",1
"('backup', 'laptop', 'hard')",1
"('vpn', '-PRON-', 'would')",1
"('do', 'not', 'appear')",1
"('static', 'route', 'sccmhdc')",1
"('assist', 'not', 'reimbursement')",1
"('not', 'work', 'gateway')",2
"('installation', 'party', 'software')",1
"('debmo', 'federation', 'access')",1
"('able', 'access', 'crenditial')",1
"('code', 'generate', 'user')",1
"('ec', 'odc', 'ciena')",1
"('not', 'route', 'ticket')",1
"('dhcp', 'server', 'detail')",1
"('router', 'not', 'able')",1
"('project', 'require', 'port')",1
"('manager', 'approve', 'request')",1
"('tms', 'link', 'not')",1
"('fan', 'issue', 'slot')",1
"('port', 'target', 'ip')",1
"('update', 'priority', 'customer')",1
"('free', 'ips', 'configure')",1
"('syslog', 'server', 'not')",1
"('health', 'check', 'es')",1
"('mac', 'address', 'ceebd')",1
"('need', 'prepared', 'share')",15
"('user', 'enter', 'effort')",1
"('utilization', 'report', 'weekly')",5
"('service', 'ksa', 'not')",1
"('user', 'symentic', 'problem')",1
"('network', 'card', 'lan')",1
"('lan', 'not', 'connect')",1
"('explorer', 'browser', 'issue')",1
"('would', 'verizon', 'portal')",1
"('virtual', 'machine', 'window')",1
"('update', 'wifi', 'antivirus')",1
"('user', 'location', 'usa')",1
"('cmr', 'change', 'vtp')",1
"('internet', 'issue', 'unable')",1
"('kick', 'callifdsbridge', 'open')",1
"('security', 'mcafee', 'antivirus')",1
"('location', 'release', 'confirm')",1
"('help', 'user', 'account')",2
"('opening', 'detail', 'say')",1
"('source', 'multiple', 'remote')",2
"('need', 'nw', 'utilization')",1
"('wipro', 'not', 'work')",5
"('bitlocker', 'recovery', 'key')",2
"('wt', 'critical', 'device')",16
"('blackberry', 'office', 'server')",1
"('laptop', 'battery', 'not')",1
"('user', 'configure', 'office')",1
"('detect', 'communication', 'link')",1
"('unable', 'connect', 'wipro')",1
"('local', 'user', 'lock')",1
"('raise', 'behalf', 'usersubhem')",1
"('place', 'week', 'wh')",1
